//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	233	754	5	5	0	0	10s	100	2	3319
m	221	738	5	5	0	0	10s	100	2	3319
m	239	734	5	5	0	0	10s	100	2	3319
m	261	752	5	5	0	0	10s	100	2	3319
m	280	773	5	5	0	0	10s	100	2	3319
m	289	820	5	5	0	0	10s	100	2	3319
m	296	811	5	5	0	0	10s	100	2	3319
m	294	792	5	5	0	0	10s	100	2	3319
m	265	780	5	5	0	0	10s	100	2	3319
m	339	879	5	5	0	0	10s	100	2	3319
m	326	891	5	5	0	0	10s	100	2	3319
m	328	862	5	5	0	0	10s	100	2	3319
m	317	866	5	5	0	0	10s	100	2	3319
m	386	902	5	5	0	0	10s	100	2	3319
m	364	905	5	5	0	0	10s	100	2	3319
m	353	905	5	5	0	0	10s	100	2	3319
m	394	895	5	5	0	0	10s	100	2	3319
m	405	906	5	5	0	0	10s	100	2	3319
m	420	888	5	5	0	0	10s	100	2	3319
m	429	872	5	5	0	0	10s	100	2	3319
m	445	859	5	5	0	0	10s	100	2	3319
m	461	839	5	5	0	0	10s	100	2	3319
m	479	822	5	5	0	0	10s	100	2	3319
m	502	811	5	5	0	0	10s	100	2	3319
m	511	797	5	5	0	0	10s	100	2	3319
m	449	848	5	5	0	0	10s	100	2	3318
m	437	873	5	5	0	0	10s	100	2	3318
m	414	876	5	5	0	0	10s	100	2	3318
m	436	894	5	5	0	0	10s	100	2	3318
m	469	833	5	5	0	0	10s	100	2	3318
m	485	809	5	5	0	0	10s	100	2	3318
m	499	801	5	5	0	0	10s	100	2	3318
m	521	793	5	5	0	0	10s	100	2	3318
m	537	796	5	5	0	0	10s	100	2	3318
m	535	779	5	5	0	0	10s	100	2	3318
m	530	776	5	5	0	0	10s	100	2	3318
m	535	752	5	5	0	0	10s	100	2	3318
m	540	732	5	5	0	0	10s	100	2	3318
m	560	713	5	5	0	0	10s	100	2	3318
m	578	724	5	5	0	0	10s	100	2	3318
m	589	744	5	5	0	0	10s	100	2	3318
m	588	765	5	5	0	0	10s	100	2	3318
m	557	770	5	5	0	0	10s	100	2	3318
m	562	749	5	5	0	0	10s	100	2	3318
m	565	784	5	5	0	0	10s	100	2	3319
m	547	765	5	5	0	0	10s	100	2	3319
m	557	740	5	5	0	0	10s	100	2	3319
m	570	736	5	5	0	0	10s	100	2	3319
m	578	764	5	5	0	0	10s	100	2	3319
m	584	689	5	5	0	0	10s	100	2	3319
m	585	706	5	5	0	0	10s	100	2	3319
m	593	665	5	5	0	0	10s	100	2	3319
m	601	634	5	5	0	0	10s	100	2	3319
m	601	616	5	5	0	0	10s	100	2	3319
m	624	596	5	5	0	0	10s	100	2	3319
m	614	581	5	5	0	0	10s	100	2	3319
m	592	569	5	5	0	0	10s	100	2	3319
m	557	536	5	5	0	0	10s	100	2	3319
m	565	518	5	5	0	0	10s	100	2	3319
m	524	522	5	5	0	0	10s	100	2	3319
m	510	533	5	5	0	0	10s	100	2	3319
m	545	554	5	5	0	0	10s	100	2	3319
m	570	571	5	5	0	0	10s	100	2	3319
m	579	586	5	5	0	0	10s	100	2	3319
m	599	597	5	5	0	0	10s	100	2	3319
m	605	565	5	5	0	0	10s	100	2	3319
m	586	604	5	5	0	0	10s	100	2	3320
m	554	576	5	5	0	0	10s	100	2	3320
m	537	563	5	5	0	0	10s	100	2	3320
m	524	540	5	5	0	0	10s	100	2	3320
m	540	532	5	5	0	0	10s	100	2	3320
m	542	523	5	5	0	0	10s	100	2	3320
m	568	551	5	5	0	0	10s	100	2	3320
m	559	560	5	5	0	0	10s	100	2	3320
m	579	559	5	5	0	0	10s	100	2	3320
m	611	556	5	5	0	0	10s	100	2	3320
m	628	572	5	5	0	0	10s	100	2	3320
m	604	582	5	5	0	0	10s	100	2	3320
m	612	599	5	5	0	0	10s	100	2	3320
m	580	747	5	5	0	0	10s	100	2	3320
m	553	750	5	5	0	0	10s	100	2	3320
m	203	701	5	5	0	0	10s	100	2	3320
m	173	667	5	5	0	0	10s	100	2	3320
m	163	639	5	5	0	0	10s	100	2	3320
m	149	636	5	5	0	0	10s	100	2	3320
m	591	591	5	5	0	0	10s	100	2	3320
m	581	561	5	5	0	0	10s	100	2	3320
m	573	538	5	5	0	0	10s	100	2	3320
m	574	518	5	5	0	0	10s	100	2	3320
m	560	512	5	5	0	0	10s	100	2	3320
m	553	521	5	5	0	0	10s	100	2	3320
m	498	528	5	5	0	0	10s	100	2	3320
m	502	537	5	5	0	0	10s	100	2	3320
m	526	551	5	5	0	0	10s	100	2	3320
m	544	544	5	5	0	0	10s	100	2	3320
m	535	542	5	5	0	0	10s	100	2	3320
m	554	550	5	5	0	0	10s	100	2	3320
m	570	569	5	5	0	0	10s	100	2	3320
m	569	584	5	5	0	0	10s	100	2	3320
m	579	598	5	5	0	0	10s	100	2	3320
m	592	581	5	5	0	0	10s	100	2	3320
m	586	575	5	5	0	0	10s	100	2	3320
m	601	555	5	5	0	0	10s	100	2	3320
m	590	555	5	5	0	0	10s	100	2	3320
m	623	572	5	5	0	0	10s	100	2	3320
m	604	648	5	5	0	0	10s	100	2	3320
m	574	704	5	5	0	0	10s	100	2	3320
m	555	730	5	5	0	0	10s	100	2	3320
m	544	748	5	5	0	0	10s	100	2	3320
m	536	768	5	5	0	0	10s	100	2	3320
m	546	784	5	5	0	0	10s	100	2	3320
m	587	779	5	5	0	0	10s	100	2	3320
m	567	770	5	5	0	0	10s	100	2	3320
m	570	761	5	5	0	0	10s	100	2	3320
m	570	723	5	5	0	0	10s	100	2	3320
m	551	723	5	5	0	0	10s	100	2	3320
m	595	652	5	5	0	0	10s	100	2	3320
m	595	628	5	5	0	0	10s	100	2	3320
m	580	617	5	5	0	0	10s	100	2	3320
m	613	608	5	5	0	0	10s	100	2	3320
m	596	612	5	5	0	0	10s	100	2	3320
m	490	549	5	5	0	0	10s	100	2	3320
m	476	553	5	5	0	0	10s	100	2	3320
m	491	539	5	5	0	0	10s	100	2	3320
m	489	530	5	5	0	0	10s	100	2	3320
m	517	524	5	5	0	0	10s	100	2	3320
m	528	531	5	5	0	0	10s	100	2	3320
m	542	761	5	5	0	0	10s	100	2	3320
m	556	783	5	5	0	0	10s	100	2	3320
m	581	779	5	5	0	0	10s	100	2	3320
m	594	764	5	5	0	0	10s	100	2	3320
m	588	754	5	5	0	0	10s	100	2	3320
m	587	735	5	5	0	0	10s	100	2	3320
m	584	716	5	5	0	0	10s	100	2	3320
m	372	897	5	5	0	0	10s	100	2	3320
m	397	886	5	5	0	0	10s	100	2	3320
m	401	900	5	5	0	0	10s	100	2	3320
m	418	900	5	5	0	0	10s	100	2	3320
m	423	920	5	5	0	0	10s	100	2	3320
m	430	915	5	5	0	0	10s	100	2	3320
m	429	908	5	5	0	0	10s	100	2	3320
m	210	728	5	5	0	0	10s	100	2	3320
m	212	718	5	5	0	0	10s	100	2	3320
m	218	711	5	5	0	0	10s	100	2	3320
m	217	690	5	5	0	0	10s	100	2	3320
m	210	662	5	5	0	0	10s	100	2	3320
m	210	649	5	5	0	0	10s	100	2	3320
m	205	633	5	5	0	0	10s	100	2	3320
m	180	601	5	5	0	0	10s	100	2	3320
m	154	595	5	5	0	0	10s	100	2	3320
m	182	594	5	5	0	0	10s	100	2	3320
m	172	591	5	5	0	0	10s	100	2	3320
m	146	613	5	5	0	0	10s	100	2	3320
m	142	631	5	5	0	0	10s	100	2	3320
m	135	635	5	5	0	0	10s	100	2	3320
m	146	651	5	5	0	0	10s	100	2	3320
m	152	675	5	5	0	0	10s	100	2	3320
m	143	672	5	5	0	0	10s	100	2	3320
m	165	661	5	5	0	0	10s	100	2	3320
m	162	657	5	5	0	0	10s	100	2	3320
m	176	647	5	5	0	0	10s	100	2	3320
m	171	635	5	5	0	0	10s	100	2	3320
m	177	625	5	5	0	0	10s	100	2	3320
m	191	627	5	5	0	0	10s	100	2	3320
m	194	634	5	5	0	0	10s	100	2	3320
m	196	642	5	5	0	0	10s	100	2	3320
m	211	648	5	5	0	0	10s	100	2	3320
m	633	586	5	5	0	0	10s	100	2	3320
m	627	578	5	5	0	0	10s	100	2	3320
m	624	562	5	5	0	0	10s	100	2	3320
m	433	933	5	5	0	0	10s	100	2	3320
m	439	914	5	5	0	0	10s	100	2	3320
m	437	899	5	5	0	0	10s	100	2	3320
m	418	889	5	5	0	0	10s	100	2	3320
m	427	883	5	5	0	0	10s	100	2	3320
m	410	887	5	5	0	0	10s	100	2	3320
m	353	896	5	5	0	0	10s	100	2	3320
m	315	853	5	5	0	0	10s	100	2	3320
m	309	835	5	5	0	0	10s	100	2	3320
m	301	829	5	5	0	0	10s	100	2	3320
m	292	815	5	5	0	0	10s	100	2	3320
m	281	791	5	5	0	0	10s	100	2	3320
m	285	785	5	5	0	0	10s	100	2	3320
m	279	771	5	5	0	0	10s	100	2	3320
m	255	766	5	5	0	0	10s	100	2	3320
m	252	762	5	5	0	0	10s	100	2	3320
m	249	734	5	5	0	0	10s	100	2	3320
m	237	733	5	5	0	0	10s	100	2	3320
m	229	732	5	5	0	0	10s	100	2	3320
m	234	712	5	5	0	0	10s	100	2	3320
m	233	705	5	5	0	0	10s	100	2	3320
m	229	686	5	5	0	0	10s	100	2	3320
m	232	679	5	5	0	0	10s	100	2	3320
m	242	656	5	5	0	0	10s	100	2	3320
m	243	644	5	5	0	0	10s	100	2	3320
m	244	641	5	5	0	0	10s	100	2	3320
m	222	630	5	5	0	0	10s	100	2	3320
m	219	641	5	5	0	0	10s	100	2	3320
m	217	663	5	5	0	0	10s	100	2	3320
m	212	673	5	5	0	0	10s	100	2	3320
m	195	682	5	5	0	0	10s	100	2	3320
m	193	682	5	5	0	0	10s	100	2	3320
m	190	664	5	5	0	0	10s	100	2	3320
m	192	650	5	5	0	0	10s	100	2	3320
m	191	644	5	5	0	0	10s	100	2	3320
m	181	641	5	5	0	0	10s	100	2	3320
m	160	622	5	5	0	0	10s	100	2	3320
m	149	622	5	5	0	0	10s	100	2	3320
m	151	642	5	5	0	0	10s	100	2	3320
m	172	681	5	5	0	0	10s	100	2	3320
m	168	686	5	5	0	0	10s	100	2	3320
m	146	687	5	5	0	0	10s	100	2	3320
m	177	699	5	5	0	0	10s	100	2	3320
m	179	700	5	5	0	0	10s	100	2	3320
m	184	700	5	5	0	0	10s	100	2	3320
m	186	697	5	5	0	0	10s	100	2	3320
m	184	667	5	5	0	0	10s	100	2	3320
m	208	664	5	5	0	0	10s	100	2	3320
m	211	672	5	5	0	0	10s	100	2	3320
m	212	685	5	5	0	0	10s	100	2	3320
m	222	695	5	5	0	0	10s	100	2	3320
m	588	673	5	5	0	0	10s	100	2	3320
m	586	698	5	5	0	0	10s	100	2	3320
m	572	717	5	5	0	0	10s	100	2	3320
m	570	718	5	5	0	0	10s	100	2	3320
m	583	734	5	5	0	0	10s	100	2	3320
m	587	750	5	5	0	0	10s	100	2	3320
m	569	752	5	5	0	0	10s	100	2	3320
m	568	743	5	5	0	0	10s	100	2	3320
m	572	738	5	5	0	0	10s	100	2	3320
m	572	758	5	5	0	0	10s	100	2	3320
m	569	767	5	5	0	0	10s	100	2	3320
m	579	777	5	5	0	0	10s	100	2	3320
m	581	779	5	5	0	0	10s	100	2	3320
m	579	787	5	5	0	0	10s	100	2	3320
m	580	788	5	5	0	0	10s	100	2	3320
m	594	770	5	5	0	0	10s	100	2	3320
m	596	765	5	5	0	0	10s	100	2	3320
m	577	745	5	5	0	0	10s	100	2	3320
m	547	747	5	5	0	0	10s	100	2	3320
m	542	735	5	5	0	0	10s	100	2	3320
m	604	618	5	5	0	0	10s	100	2	3320
m	607	595	5	5	0	0	10s	100	2	3320
m	612	582	5	5	0	0	10s	100	2	3320
m	614	574	5	5	0	0	10s	100	2	3320
m	591	555	5	5	0	0	10s	100	2	3320
m	599	579	5	5	0	0	10s	100	2	3320
m	580	586	5	5	0	0	10s	100	2	3320
m	548	575	5	5	0	0	10s	100	2	3320
m	550	563	5	5	0	0	10s	100	2	3320
m	557	552	5	5	0	0	10s	100	2	3320
m	565	536	5	5	0	0	10s	100	2	3320
m	563	527	5	5	0	0	10s	100	2	3320
m	571	508	5	5	0	0	10s	100	2	3320
m	554	509	5	5	0	0	10s	100	2	3320
m	546	520	5	5	0	0	10s	100	2	3320
m	534	522	5	5	0	0	10s	100	2	3320
m	530	540	5	5	0	0	10s	100	2	3320
m	535	554	5	5	0	0	10s	100	2	3320
m	521	550	5	5	0	0	10s	100	2	3320
m	514	546	5	5	0	0	10s	100	2	3320
m	508	543	5	5	0	0	10s	100	2	3320
m	539	548	5	5	0	0	10s	100	2	3320
m	570	555	5	5	0	0	10s	100	2	3320
m	561	571	5	5	0	0	10s	100	2	3320
m	581	580	5	5	0	0	10s	100	2	3320
m	584	570	5	5	0	0	10s	100	2	3320
m	578	562	5	5	0	0	10s	100	2	3320
m	587	553	5	5	0	0	10s	100	2	3320
m	578	546	5	5	0	0	10s	100	2	3320
m	612	562	5	5	0	0	10s	100	2	3320
m	624	576	5	5	0	0	10s	100	2	3320
m	612	597	5	5	0	0	10s	100	2	3320
m	603	602	5	5	0	0	10s	100	2	3320
m	602	610	5	5	0	0	10s	100	2	3320
m	582	498	5	5	0	0	10s	100	2	3320
m	588	488	5	5	0	0	10s	100	2	3320
m	596	478	5	5	0	0	10s	100	2	3320
m	606	467	5	5	0	0	10s	100	2	3320
m	613	453	5	5	0	0	10s	100	2	3320
m	618	446	5	5	0	0	10s	100	2	3320
m	614	440	5	5	0	0	10s	100	2	3320
m	635	432	5	5	0	0	10s	100	2	3320
m	643	426	5	5	0	0	10s	100	2	3320
m	648	414	5	5	0	0	10s	100	2	3320
m	660	405	5	5	0	0	10s	100	2	3320
m	670	410	5	5	0	0	10s	100	2	3320
m	649	392	5	5	0	0	10s	100	2	3320
m	639	386	5	5	0	0	10s	100	2	3320
m	631	367	5	5	0	0	10s	100	2	3320
m	618	358	5	5	0	0	10s	100	2	3320
m	607	353	5	5	0	0	10s	100	2	3320
m	588	355	5	5	0	0	10s	100	2	3320
m	565	360	5	5	0	0	10s	100	2	3320
m	601	362	5	5	0	0	10s	100	2	3320
m	616	373	5	5	0	0	10s	100	2	3320
m	544	359	5	5	0	0	10s	100	2	3320
m	514	358	5	5	0	0	10s	100	2	3320
m	500	349	5	5	0	0	10s	100	2	3320
m	505	373	5	5	0	0	10s	100	2	3320
m	502	393	5	5	0	0	10s	100	2	3320
m	494	410	5	5	0	0	10s	100	2	3320
m	479	418	5	5	0	0	10s	100	2	3320
m	444	418	5	5	0	0	10s	100	2	3320
m	417	414	5	5	0	0	10s	100	2	3320
m	407	390	5	5	0	0	10s	100	2	3320
m	407	380	5	5	0	0	10s	100	2	3320
m	385	370	5	5	0	0	10s	100	2	3320
m	353	359	5	5	0	0	10s	100	2	3320
m	321	357	5	5	0	0	10s	100	2	3320
m	325	387	5	5	0	0	10s	100	2	3320
m	318	413	5	5	0	0	10s	100	2	3320
m	324	419	5	5	0	0	10s	100	2	3320
m	317	442	5	5	0	0	10s	100	2	3320
m	309	464	5	5	0	0	10s	100	2	3320
m	288	470	5	5	0	0	10s	100	2	3320
m	279	484	5	5	0	0	10s	100	2	3320
m	262	484	5	5	0	0	10s	100	2	3320
m	248	484	5	5	0	0	10s	100	2	3320
m	334	433	5	5	0	0	10s	100	2	3320
m	370	427	5	5	0	0	10s	100	2	3320
m	393	419	5	5	0	0	10s	100	2	3320
m	405	401	5	5	0	0	10s	100	2	3320
m	423	376	5	5	0	0	10s	100	2	3320
m	444	360	5	5	0	0	10s	100	2	3320
m	458	355	5	5	0	0	10s	100	2	3320
m	471	352	5	5	0	0	10s	100	2	3320
m	612	459	5	5	0	0	10s	100	2	3320
m	623	449	5	5	0	0	10s	100	2	3320
m	637	440	5	5	0	0	10s	100	2	3320
m	643	432	5	5	0	0	10s	100	2	3320
m	633	415	5	5	0	0	10s	100	2	3320
m	640	403	5	5	0	0	10s	100	2	3320
m	618	398	5	5	0	0	10s	100	2	3320
m	625	384	5	5	0	0	10s	100	2	3320
m	633	377	5	5	0	0	10s	100	2	3320
m	635	374	5	5	0	0	10s	100	2	3320
m	585	355	5	5	0	0	10s	100	2	3320
m	567	360	5	5	0	0	10s	100	2	3320
m	523	360	5	5	0	0	10s	100	2	3320
m	529	363	5	5	0	0	10s	100	2	3320
m	508	378	5	5	0	0	10s	100	2	3320
m	491	390	5	5	0	0	10s	100	2	3320
m	480	405	5	5	0	0	10s	100	2	3320
m	461	403	5	5	0	0	10s	100	2	3320
m	463	399	5	5	0	0	10s	100	2	3320
m	465	387	5	5	0	0	10s	100	2	3320
m	463	374	5	5	0	0	10s	100	2	3320
m	466	359	5	5	0	0	10s	100	2	3320
m	493	355	5	5	0	0	10s	100	2	3320
m	441	373	5	5	0	0	10s	100	2	3320
m	425	377	5	5	0	0	10s	100	2	3320
m	422	403	5	5	0	0	10s	100	2	3320
m	428	408	5	5	0	0	10s	100	2	3320
m	391	416	5	5	0	0	10s	100	2	3320
m	373	417	5	5	0	0	10s	100	2	3320
m	347	416	5	5	0	0	10s	100	2	3320
m	358	398	5	5	0	0	10s	100	2	3320
m	361	381	5	5	0	0	10s	100	2	3320
m	367	371	5	5	0	0	10s	100	2	3320
m	347	370	5	5	0	0	10s	100	2	3320
m	317	373	5	5	0	0	10s	100	2	3320
m	316	356	5	5	0	0	10s	100	2	3320
m	313	335	5	5	0	0	10s	100	2	3320
m	305	454	5	5	0	0	10s	100	2	3320
m	298	464	5	5	0	0	10s	100	2	3320
m	298	480	5	5	0	0	10s	100	2	3320
m	279	487	5	5	0	0	10s	100	2	3320
m	251	489	5	5	0	0	10s	100	2	3320
m	241	482	5	5	0	0	10s	100	2	3320
m	498	369	5	5	0	0	10s	100	2	3319
m	493	370	5	5	0	0	10s	100	2	3319
m	507	358	5	5	0	0	10s	100	2	3319
m	521	352	5	5	0	0	10s	100	2	3319
m	542	353	5	5	0	0	10s	100	2	3319
m	562	357	5	5	0	0	10s	100	2	3319
m	577	359	5	5	0	0	10s	100	2	3319
m	619	367	5	5	0	0	10s	100	2	3319
m	639	391	5	5	0	0	10s	100	2	3319
m	640	402	5	5	0	0	10s	100	2	3319
m	650	407	5	5	0	0	10s	100	2	3319
m	625	427	5	5	0	0	10s	100	2	3319
m	639	430	5	5	0	0	10s	100	2	3319
m	650	421	5	5	0	0	10s	100	2	3319
m	656	415	5	5	0	0	10s	100	2	3319
m	600	415	5	5	0	0	10s	100	2	3319
m	622	406	5	5	0	0	10s	100	2	3319
m	615	404	5	5	0	0	10s	100	2	3319
m	608	394	5	5	0	0	10s	100	2	3319
m	610	383	5	5	0	0	10s	100	2	3319
m	607	379	5	5	0	0	10s	100	2	3319
m	567	380	5	5	0	0	10s	100	2	3319
m	550	386	5	5	0	0	10s	100	2	3319
m	536	387	5	5	0	0	10s	100	2	3319
m	536	384	5	5	0	0	10s	100	2	3319
m	551	401	5	5	0	0	10s	100	2	3319
m	533	401	5	5	0	0	10s	100	2	3319
m	530	392	5	5	0	0	10s	100	2	3319
m	513	385	5	5	0	0	10s	100	2	3319
m	507	395	5	5	0	0	10s	100	2	3319
m	498	411	5	5	0	0	10s	100	2	3319
m	496	419	5	5	0	0	10s	100	2	3319
m	475	423	5	5	0	0	10s	100	2	3319
m	462	420	5	5	0	0	10s	100	2	3319
m	455	414	5	5	0	0	10s	100	2	3319
m	423	418	5	5	0	0	10s	100	2	3319
m	404	422	5	5	0	0	10s	100	2	3319
m	388	412	5	5	0	0	10s	100	2	3319
m	399	394	5	5	0	0	10s	100	2	3319
m	392	387	5	5	0	0	10s	100	2	3319
m	399	376	5	5	0	0	10s	100	2	3319
m	399	372	5	5	0	0	10s	100	2	3319
m	352	370	5	5	0	0	10s	100	2	3319
m	329	366	5	5	0	0	10s	100	2	3319
m	329	355	5	5	0	0	10s	100	2	3319
m	330	347	5	5	0	0	10s	100	2	3319
m	316	332	5	5	0	0	10s	100	2	3319
m	322	388	5	5	0	0	10s	100	2	3319
m	328	405	5	5	0	0	10s	100	2	3319
m	327	419	5	5	0	0	10s	100	2	3319
m	334	423	5	5	0	0	10s	100	2	3319
m	332	438	5	5	0	0	10s	100	2	3319
m	313	446	5	5	0	0	10s	100	2	3319
m	313	456	5	5	0	0	10s	100	2	3319
m	308	466	5	5	0	0	10s	100	2	3319
m	301	473	5	5	0	0	10s	100	2	3319
m	282	476	5	5	0	0	10s	100	2	3319
m	272	473	5	5	0	0	10s	100	2	3319
m	273	489	5	5	0	0	10s	100	2	3319
m	273	494	5	5	0	0	10s	100	2	3319
m	263	494	5	5	0	0	10s	100	2	3319
m	254	493	5	5	0	0	10s	100	2	3319
m	251	493	5	5	0	0	10s	100	2	3319
m	245	493	5	5	0	0	10s	100	2	3319
m	425	394	5	5	0	0	10s	100	2	3319
m	425	386	5	5	0	0	10s	100	2	3319
m	419	377	5	5	0	0	10s	100	2	3319
m	413	366	5	5	0	0	10s	100	2	3319
m	321	342	5	5	0	0	10s	100	2	3318
m	319	322	5	5	0	0	10s	100	2	3318
m	302	319	5	5	0	0	10s	100	2	3318
m	306	310	5	5	0	0	10s	100	2	3318
m	299	295	5	5	0	0	10s	100	2	3318
m	293	289	5	5	0	0	10s	100	2	3318
m	283	279	5	5	0	0	10s	100	2	3318
m	273	264	5	5	0	0	10s	100	2	3318
m	274	255	5	5	0	0	10s	100	2	3318
m	278	243	5	5	0	0	10s	100	2	3318
m	276	237	5	5	0	0	10s	100	2	3318
m	255	250	5	5	0	0	10s	100	2	3318
m	248	258	5	5	0	0	10s	100	2	3318
m	243	268	5	5	0	0	10s	100	2	3318
m	214	280	5	5	0	0	10s	100	2	3318
m	197	286	5	5	0	0	10s	100	2	3318
m	182	290	5	5	0	0	10s	100	2	3318
m	174	292	5	5	0	0	10s	100	2	3318
m	153	296	5	5	0	0	10s	100	2	3318
m	137	301	5	5	0	0	10s	100	2	3318
m	123	307	5	5	0	0	10s	100	2	3318
m	111	313	5	5	0	0	10s	100	2	3318
m	104	318	5	5	0	0	10s	100	2	3318
m	103	323	5	5	0	0	10s	100	2	3318
m	226	258	5	5	0	0	10s	100	2	3318
m	312	327	5	5	0	0	10s	100	2	3319
m	311	310	5	5	0	0	10s	100	2	3319
m	305	300	5	5	0	0	10s	100	2	3319
m	296	298	5	5	0	0	10s	100	2	3319
m	284	294	5	5	0	0	10s	100	2	3319
m	286	286	5	5	0	0	10s	100	2	3319
m	288	276	5	5	0	0	10s	100	2	3319
m	286	265	5	5	0	0	10s	100	2	3319
m	286	260	5	5	0	0	10s	100	2	3319
m	284	250	5	5	0	0	10s	100	2	3319
m	283	244	5	5	0	0	10s	100	2	3319
m	265	234	5	5	0	0	10s	100	2	3319
m	258	242	5	5	0	0	10s	100	2	3319
m	265	253	5	5	0	0	10s	100	2	3319
m	261	263	5	5	0	0	10s	100	2	3319
m	249	267	5	5	0	0	10s	100	2	3319
m	231	267	5	5	0	0	10s	100	2	3319
m	223	275	5	5	0	0	10s	100	2	3319
m	208	277	5	5	0	0	10s	100	2	3319
m	201	274	5	5	0	0	10s	100	2	3319
m	195	284	5	5	0	0	10s	100	2	3319
m	196	294	5	5	0	0	10s	100	2	3319
m	187	298	5	5	0	0	10s	100	2	3319
m	165	298	5	5	0	0	10s	100	2	3319
m	148	300	5	5	0	0	10s	100	2	3319
m	132	309	5	5	0	0	10s	100	2	3319
m	125	310	5	5	0	0	10s	100	2	3319
m	118	318	5	5	0	0	10s	100	2	3319
m	114	326	5	5	0	0	10s	100	2	3319
m	110	329	5	5	0	0	10s	100	2	3319
m	107	332	5	5	0	0	10s	100	2	3319
m	99	336	5	5	0	0	10s	100	2	3319
m	92	315	5	5	0	0	10s	100	2	3319
m	92	309	5	5	0	0	10s	100	2	3319
m	92	306	5	5	0	0	10s	100	2	3319
m	90	304	5	5	0	0	10s	100	2	3319
m	84	293	5	5	0	0	10s	100	2	3319
m	81	285	5	5	0	0	10s	100	2	3319
m	80	281	5	5	0	0	10s	100	2	3319
m	81	270	5	5	0	0	10s	100	2	3319
m	82	262	5	5	0	0	10s	100	2	3319
m	90	254	5	5	0	0	10s	100	2	3319
m	98	248	5	5	0	0	10s	100	2	3319
m	105	240	5	5	0	0	10s	100	2	3319
m	100	218	5	5	0	0	10s	100	2	3319
m	86	222	5	5	0	0	10s	100	2	3319
m	83	233	5	5	0	0	10s	100	2	3319
m	94	236	5	5	0	0	10s	100	2	3319
m	101	234	5	5	0	0	10s	100	2	3319
m	104	233	5	5	0	0	10s	100	2	3319
m	114	231	5	5	0	0	10s	100	2	3319
m	115	233	5	5	0	0	10s	100	2	3319
m	87	244	5	5	0	0	10s	100	2	3319
m	81	244	5	5	0	0	10s	100	2	3319
m	103	225	5	5	0	0	10s	100	2	3319
m	283	228	5	5	0	0	10s	100	2	3316
m	249	240	5	5	0	0	10s	100	2	3316
m	239	249	5	5	0	0	10s	100	2	3316
m	312	209	5	5	0	0	10s	100	2	3316
m	334	195	5	5	0	0	10s	100	2	3316
